txflow: 11 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=581, GbrDAq3R=451, 6e4ewHhG=442
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, JBGqmRZB=887, 6e4ewHhG=649, GbrDAq3R=636
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, JBGqmRZB=908, GbrDAq3R=611, zxTpi4Bt=531
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, JBGqmRZB=924, GbrDAq3R=570, zxTpi4Bt=536
txflow: 12 pools | top 5m swaps: 55EvHE1d=997, JBGqmRZB=839, GbrDAq3R=579, zxTpi4Bt=515
txflow: 12 pools | top 5m swaps: 55EvHE1d=996, GbrDAq3R=588, JBGqmRZB=563, zxTpi4Bt=468
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=949, zxTpi4Bt=616, 6e4ewHhG=447
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=921, zxTpi4Bt=736, CnK1jPqS=356
txflow: 12 pools | top 5m swaps: 55EvHE1d=995, zxTpi4Bt=927, GbrDAq3R=397, CnK1jPqS=323
txflow: 12 pools | top 5m swaps: 55EvHE1d=996, zxTpi4Bt=902, CnK1jPqS=465, GbrDAq3R=358
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=869, CnK1jPqS=627, GbrDAq3R=372
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=783, CnK1jPqS=656, GbrDAq3R=345
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=735, CnK1jPqS=647, GbrDAq3R=344
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=630, CnK1jPqS=608, GbrDAq3R=326
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, CnK1jPqS=600, zxTpi4Bt=479, GbrDAq3R=305
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, CnK1jPqS=571, zxTpi4Bt=467, GbrDAq3R=312
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, CnK1jPqS=534, zxTpi4Bt=473, GbrDAq3R=300
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, CnK1jPqS=525, GbrDAq3R=332, zxTpi4Bt=320
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, CnK1jPqS=527, zxTpi4Bt=474, GbrDAq3R=341
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=563, CnK1jPqS=339, GbrDAq3R=332
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=814, GbrDAq3R=313, 6e4ewHhG=240
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=927, GbrDAq3R=276, 6e4ewHhG=224
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=945, GbrDAq3R=242, 6e4ewHhG=215
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=953, GbrDAq3R=290, 6e4ewHhG=213
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=948, GbrDAq3R=380, JBGqmRZB=246
txflow: 12 pools | top 5m swaps: 55EvHE1d=968, zxTpi4Bt=940, GbrDAq3R=481, JBGqmRZB=269
txflow: 12 pools | top 5m swaps: 55EvHE1d=968, zxTpi4Bt=929, GbrDAq3R=604, 6e4ewHhG=314
txflow: 12 pools | top 5m swaps: 55EvHE1d=968, zxTpi4Bt=923, GbrDAq3R=728, 6e4ewHhG=424
txflow: 12 pools | top 5m swaps: 55EvHE1d=965, zxTpi4Bt=823, GbrDAq3R=794, 6e4ewHhG=380
txflow: 12 pools | top 5m swaps: 55EvHE1d=997, GbrDAq3R=792, zxTpi4Bt=727, 6e4ewHhG=362
txflow: 12 pools | top 5m swaps: 55EvHE1d=997, GbrDAq3R=893, zxTpi4Bt=605, JBGqmRZB=456
txflow: 12 pools | top 5m swaps: 55EvHE1d=997, GbrDAq3R=910, zxTpi4Bt=581, 6e4ewHhG=531
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, GbrDAq3R=917, 6e4ewHhG=590, zxTpi4Bt=569
txflow: 12 pools | top 5m swaps: 55EvHE1d=999, GbrDAq3R=916, 6e4ewHhG=595, zxTpi4Bt=557
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=856, 6e4ewHhG=612, zxTpi4Bt=554
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=773, 6e4ewHhG=597, zxTpi4Bt=554
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=863, 6e4ewHhG=568, zxTpi4Bt=560
txflow: 12 pools | top 5m swaps: 55EvHE1d=996, GbrDAq3R=916, JBGqmRZB=814, 6e4ewHhG=589
txflow: 12 pools | top 5m swaps: 55EvHE1d=983, GbrDAq3R=964, JBGqmRZB=859, 6e4ewHhG=612
txflow: 12 pools | top 5m swaps: 55EvHE1d=978, GbrDAq3R=976, JBGqmRZB=888, 6e4ewHhG=636
txflow: 12 pools | top 5m swaps: GbrDAq3R=975, 55EvHE1d=973, JBGqmRZB=891, 6e4ewHhG=514
txflow: 12 pools | top 5m swaps: GbrDAq3R=969, 55EvHE1d=964, JBGqmRZB=894, 6e4ewHhG=370
txflow: 12 pools | top 5m swaps: GbrDAq3R=968, 55EvHE1d=924, JBGqmRZB=896, zxTpi4Bt=353
txflow: 12 pools | top 5m swaps: GbrDAq3R=959, 55EvHE1d=941, JBGqmRZB=899, zxTpi4Bt=543
txflow: 12 pools | top 5m swaps: 55EvHE1d=969, GbrDAq3R=924, JBGqmRZB=901, zxTpi4Bt=553
txflow: 12 pools | top 5m swaps: 55EvHE1d=992, GbrDAq3R=922, JBGqmRZB=903, zxTpi4Bt=453
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=919, JBGqmRZB=905, zxTpi4Bt=560
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, GbrDAq3R=714, zxTpi4Bt=624, JBGqmRZB=588
txflow: 12 pools | top 5m swaps: 55EvHE1d=999, zxTpi4Bt=657, GbrDAq3R=439, 6e4ewHhG=330
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=748, GbrDAq3R=343, 6e4ewHhG=329
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, zxTpi4Bt=504, 6e4ewHhG=327, GbrDAq3R=320
txflow: 12 pools | top 5m swaps: 55EvHE1d=998, zxTpi4Bt=448, 6e4ewHhG=325, GbrDAq3R=304
txflow: 12 pools | top 5m swaps: 55EvHE1d=896, zxTpi4Bt=477, GbrDAq3R=319, 6e4ewHhG=317
txflow: 12 pools | top 5m swaps: 55EvHE1d=848, zxTpi4Bt=451, GbrDAq3R=361, 6e4ewHhG=289
txflow: 12 pools | top 5m swaps: 55EvHE1d=903, zxTpi4Bt=424, GbrDAq3R=353, 6e4ewHhG=203
txflow: 12 pools | top 5m swaps: 55EvHE1d=943, zxTpi4Bt=419, GbrDAq3R=406, 6e4ewHhG=238
txflow: 12 pools | top 5m swaps: 55EvHE1d=974, zxTpi4Bt=431, GbrDAq3R=407, 6e4ewHhG=210
txflow: 12 pools | top 5m swaps: 55EvHE1d=980, zxTpi4Bt=453, GbrDAq3R=421, 6e4ewHhG=221
txflow: 12 pools | top 5m swaps: 55EvHE1d=994, zxTpi4Bt=483, GbrDAq3R=373, 6e4ewHhG=200
txflow: 12 pools | top 5m swaps: 55EvHE1d=996, zxTpi4Bt=658, GbrDAq3R=330, JBGqmRZB=297
txflow: 12 pools | top 5m swaps: zxTpi4Bt=852, 55EvHE1d=684, JBGqmRZB=407, GbrDAq3R=381
txflow: 12 pools | top 5m swaps: zxTpi4Bt=963, 55EvHE1d=583, JBGqmRZB=438, GbrDAq3R=369
txflow: 12 pools | top 5m swaps: zxTpi4Bt=897, 55EvHE1d=620, JBGqmRZB=425, GbrDAq3R=348
txflow: 12 pools | top 5m swaps: zxTpi4Bt=789, 55EvHE1d=635, JBGqmRZB=437, GbrDAq3R=332
txflow: 12 pools | top 5m swaps: zxTpi4Bt=774, 55EvHE1d=649, JBGqmRZB=439, GbrDAq3R=353
txflow: 12 pools | top 5m swaps: 55EvHE1d=778, zxTpi4Bt=765, JBGqmRZB=431, GbrDAq3R=303
txflow: 12 pools | top 5m swaps: 55EvHE1d=887, zxTpi4Bt=754, JBGqmRZB=428, GbrDAq3R=332
txflow: 12 pools | top 5m swaps: 55EvHE1d=962, zxTpi4Bt=754, JBGqmRZB=427, GbrDAq3R=325
txflow: 12 pools | top 5m swaps: 55EvHE1d=989, zxTpi4Bt=504, JBGqmRZB=404, GbrDAq3R=385
txflow: 12 pools | top 5m swaps: 55EvHE1d=1000, zxTpi4Bt=564, GbrDAq3R=375, JBGqmRZB=274
txflow: 12 pools | top 5m swaps: 55EvHE1d=972, zxTpi4Bt=679, GbrDAq3R=296, 6e4ewHhG=172
txflow: 12 pools | top 5m swaps: 55EvHE1d=969, zxTpi4Bt=714, GbrDAq3R=292, 9NdiyGft=178
txflow: 12 pools | top 5m swaps: 55EvHE1d=969, zxTpi4Bt=750, GbrDAq3R=294, 6e4ewHhG=173
txflow: 12 pools | top 5m swaps: 55EvHE1d=994, zxTpi4Bt=771, GbrDAq3R=289, 6e4ewHhG=141
txflow: 12 pools | top 5m swaps: 55EvHE1d=994, zxTpi4Bt=503, GbrDAq3R=255, 6e4ewHhG=130
txflow: 12 pools | top 5m swaps: 55EvHE1d=995, zxTpi4Bt=297, GbrDAq3R=236, 6e4ewHhG=133
txflow: 12 pools | top 5m swaps: GbrDAq3R=835, zxTpi4Bt=514, 6e4ewHhG=144, JBGqmRZB=142
txflow: 12 pools | top 5m swaps: GbrDAq3R=894, FoyTFL8F=611, zxTpi4Bt=283, 6e4ewHhG=150
txflow: 12 pools | top 5m swaps: GbrDAq3R=907, FoyTFL8F=660, zxTpi4Bt=350, 6e4ewHhG=164
txflow: 12 pools | top 5m swaps: GbrDAq3R=785, FoyTFL8F=697, zxTpi4Bt=411, 55EvHE1d=208
txflow: 12 pools | top 5m swaps: GbrDAq3R=695, FoyTFL8F=688, zxTpi4Bt=414, 55EvHE1d=384
txflow: 12 pools | top 5m swaps: GbrDAq3R=875, FoyTFL8F=676, 55EvHE1d=473, zxTpi4Bt=400
txflow: 12 pools | top 5m swaps: GbrDAq3R=887, FoyTFL8F=662, zxTpi4Bt=523, 55EvHE1d=471
txflow: 12 pools | top 5m swaps: GbrDAq3R=886, FoyTFL8F=633, zxTpi4Bt=554, 55EvHE1d=472
txflow: 12 pools | top 5m swaps: GbrDAq3R=791, FoyTFL8F=631, zxTpi4Bt=521, 55EvHE1d=472
txflow: 12 pools | top 5m swaps: GbrDAq3R=663, FoyTFL8F=660, zxTpi4Bt=528, 55EvHE1d=457
txflow: 12 pools | top 5m swaps: CnK1jPqS=865, FoyTFL8F=666, GbrDAq3R=550, zxTpi4Bt=506
txflow: 12 pools | top 5m swaps: CnK1jPqS=945, FoyTFL8F=671, zxTpi4Bt=523, 55EvHE1d=464
txflow: 12 pools | top 5m swaps: CnK1jPqS=955, FoyTFL8F=679, GbrDAq3R=480, zxTpi4Bt=467
txflow: 12 pools | top 5m swaps: CnK1jPqS=955, FoyTFL8F=687, GbrDAq3R=481, zxTpi4Bt=434
txflow: 12 pools | top 5m swaps: CnK1jPqS=956, FoyTFL8F=693, GbrDAq3R=468, zxTpi4Bt=443
txflow: 12 pools | top 5m swaps: CnK1jPqS=956, FoyTFL8F=699, zxTpi4Bt=374, GbrDAq3R=289
txflow: 12 pools | top 5m swaps: CnK1jPqS=956, zxTpi4Bt=602, FoyTFL8F=602, 55EvHE1d=280
txflow: 12 pools | top 5m swaps: CnK1jPqS=957, zxTpi4Bt=609, 55EvHE1d=470, FoyTFL8F=391
txflow: 12 pools | top 5m swaps: CnK1jPqS=957, zxTpi4Bt=605, 55EvHE1d=470, GbrDAq3R=229
txflow: 12 pools | top 5m swaps: CnK1jPqS=957, 55EvHE1d=638, zxTpi4Bt=603, GbrDAq3R=221
txflow: 12 pools | top 5m swaps: 55EvHE1d=844, CnK1jPqS=645, zxTpi4Bt=622, GbrDAq3R=228
txflow: 12 pools | top 5m swaps: 55EvHE1d=875, zxTpi4Bt=538, GbrDAq3R=256, CnK1jPqS=191
txflow: 12 pools | top 5m swaps: 55EvHE1d=890, zxTpi4Bt=569, GbrDAq3R=278, 6e4ewHhG=90
txflow: 12 pools | top 5m swaps: 55EvHE1d=899, zxTpi4Bt=720, GbrDAq3R=499, 6e4ewHhG=95
txflow: 12 pools | top 5m swaps: 55EvHE1d=894, zxTpi4Bt=828, GbrDAq3R=536, 6e4ewHhG=96
txflow: 12 pools | top 5m swaps: zxTpi4Bt=812, 55EvHE1d=781, GbrDAq3R=501, 6e4ewHhG=109
txflow: 12 pools | top 5m swaps: zxTpi4Bt=863, 55EvHE1d=634, GbrDAq3R=489, 6e4ewHhG=104
txflow: 12 pools | top 5m swaps: zxTpi4Bt=813, GbrDAq3R=492, 55EvHE1d=455, 6e4ewHhG=96
txflow: 12 pools | top 5m swaps: zxTpi4Bt=799, GbrDAq3R=508, 55EvHE1d=493, 6e4ewHhG=117
txflow: 12 pools | top 5m swaps: zxTpi4Bt=832, GbrDAq3R=503, 55EvHE1d=461, 6e4ewHhG=117
txflow: 12 pools | top 5m swaps: zxTpi4Bt=858, GbrDAq3R=484, 55EvHE1d=452, 6e4ewHhG=117
txflow: 12 pools | top 5m swaps: zxTpi4Bt=903, GbrDAq3R=453, 55EvHE1d=421, 6e4ewHhG=133
txflow: 12 pools | top 5m swaps: zxTpi4Bt=721, GbrDAq3R=499, 55EvHE1d=415, 6e4ewHhG=142
txflow: 12 pools | top 5m swaps: GbrDAq3R=715, zxTpi4Bt=714, 55EvHE1d=409, 6e4ewHhG=161
txflow: 12 pools | top 5m swaps: zxTpi4Bt=723, GbrDAq3R=702, 55EvHE1d=414, 6e4ewHhG=163
txflow: 12 pools | top 5m swaps: zxTpi4Bt=727, GbrDAq3R=712, 55EvHE1d=407, 6e4ewHhG=180
txflow: 12 pools | top 5m swaps: zxTpi4Bt=728, GbrDAq3R=727, 55EvHE1d=411, 6e4ewHhG=210
txflow: 12 pools | top 5m swaps: GbrDAq3R=716, zxTpi4Bt=683, 55EvHE1d=410, 6e4ewHhG=227
txflow: 12 pools | top 5m swaps: GbrDAq3R=766, zxTpi4Bt=681, 55EvHE1d=370, 6e4ewHhG=219
txflow: 12 pools | top 5m swaps: GbrDAq3R=852, zxTpi4Bt=702, 6e4ewHhG=223, 55EvHE1d=203
txflow: 12 pools | top 5m swaps: GbrDAq3R=935, zxTpi4Bt=663, 6e4ewHhG=219, 9NdiyGft=59
txflow: 12 pools | top 5m swaps: GbrDAq3R=934, zxTpi4Bt=368, 6e4ewHhG=217, nBXytBBf=147
txflow: 12 pools | top 5m swaps: GbrDAq3R=939, nBXytBBf=452, zxTpi4Bt=325, 6e4ewHhG=225
txflow: 12 pools | top 5m swaps: GbrDAq3R=715, nBXytBBf=565, zxTpi4Bt=307, 6e4ewHhG=202
txflow: 12 pools | top 5m swaps: GbrDAq3R=779, nBXytBBf=569, zxTpi4Bt=304, 6e4ewHhG=197
txflow: 12 pools | top 5m swaps: GbrDAq3R=754, nBXytBBf=568, zxTpi4Bt=291, 6e4ewHhG=183
txflow: 12 pools | top 5m swaps: GbrDAq3R=762, nBXytBBf=570, zxTpi4Bt=286, 6e4ewHhG=159
txflow: 12 pools | top 5m swaps: GbrDAq3R=765, nBXytBBf=574, zxTpi4Bt=285, 6e4ewHhG=150
txflow: 12 pools | top 5m swaps: GbrDAq3R=696, nBXytBBf=574, zxTpi4Bt=285, 6e4ewHhG=166
txflow: 12 pools | top 5m swaps: GbrDAq3R=625, nBXytBBf=583, zxTpi4Bt=392, 6e4ewHhG=192
txflow: 12 pools | top 5m swaps: zxTpi4Bt=901, nBXytBBf=589, GbrDAq3R=477, 6e4ewHhG=193
txflow: 12 pools | top 5m swaps: zxTpi4Bt=857, nBXytBBf=419, GbrDAq3R=408, 6e4ewHhG=190
txflow: 12 pools | top 5m swaps: zxTpi4Bt=806, GbrDAq3R=307, 6e4ewHhG=179, nBXytBBf=169
txflow: 12 pools | top 5m swaps: zxTpi4Bt=685, GbrDAq3R=221, 6e4ewHhG=207, CnK1jPqS=156
txflow: 12 pools | top 5m swaps: zxTpi4Bt=771, GbrDAq3R=260, CnK1jPqS=229, 6e4ewHhG=228
txflow: 12 pools | top 5m swaps: zxTpi4Bt=831, 2f5QQnNB=707, GbrDAq3R=293, 6e4ewHhG=237
txflow: 12 pools | top 5m swaps: 2f5QQnNB=945, GbrDAq3R=549, zxTpi4Bt=467, 6e4ewHhG=263
txflow: 12 pools | top 5m swaps: 2f5QQnNB=799, zxTpi4Bt=701, 6e4ewHhG=576, GbrDAq3R=567
txflow: 12 pools | top 5m swaps: 2f5QQnNB=799, zxTpi4Bt=701, GbrDAq3R=642, 6e4ewHhG=596
txflow: 12 pools | top 5m swaps: GbrDAq3R=799, 2f5QQnNB=642, 6e4ewHhG=601, zxTpi4Bt=549
txflow: 12 pools | top 5m swaps: 2f5QQnNB=995, GbrDAq3R=945, 6e4ewHhG=733, 6DkVy4DP=728
txflow: 12 pools | top 5m swaps: GbrDAq3R=967, 2f5QQnNB=868, 6e4ewHhG=559, zxTpi4Bt=522
txflow: 12 pools | top 5m swaps: 2f5QQnNB=937, zxTpi4Bt=515, GbrDAq3R=410, 6DkVy4DP=201
txflow: 12 pools | top 5m swaps: 2f5QQnNB=914, zxTpi4Bt=468, GbrDAq3R=287, 6e4ewHhG=226
txflow: 12 pools | top 5m swaps: 2f5QQnNB=930, zxTpi4Bt=377, 6e4ewHhG=233, GbrDAq3R=193
txflow: 12 pools | top 5m swaps: 2f5QQnNB=937, GbrDAq3R=423, zxTpi4Bt=382, 6e4ewHhG=280
txflow: 12 pools | top 5m swaps: GbrDAq3R=920, 2f5QQnNB=845, 6WwtGMXu=527, zxTpi4Bt=482
txflow: 12 pools | top 5m swaps: GbrDAq3R=934, 2f5QQnNB=918, 6WwtGMXu=612, zxTpi4Bt=496
txflow: 12 pools | top 5m swaps: GbrDAq3R=936, 2f5QQnNB=925, 6WwtGMXu=726, zxTpi4Bt=472
txflow: 12 pools | top 5m swaps: GbrDAq3R=937, 2f5QQnNB=918, 6WwtGMXu=757, zxTpi4Bt=487
txflow: 12 pools | top 5m swaps: 2f5QQnNB=918, GbrDAq3R=895, 6WwtGMXu=737, zxTpi4Bt=518
txflow: 12 pools | top 5m swaps: 2f5QQnNB=919, GbrDAq3R=707, zxTpi4Bt=520, 6WwtGMXu=506
txflow: 12 pools | top 5m swaps: 2f5QQnNB=922, GbrDAq3R=548, 6WwtGMXu=522, zxTpi4Bt=507
txflow: 12 pools | top 5m swaps: 2f5QQnNB=922, 6WwtGMXu=530, zxTpi4Bt=514, GbrDAq3R=374
txflow: 12 pools | top 5m swaps: 6WwtGMXu=725, GbrDAq3R=476, zxTpi4Bt=342, 6e4ewHhG=285
txflow: 12 pools | top 5m swaps: 6WwtGMXu=714, GbrDAq3R=471, 6e4ewHhG=279, zxTpi4Bt=266
txflow: 12 pools | top 5m swaps: 6WwtGMXu=709, GbrDAq3R=474, 6e4ewHhG=264, zxTpi4Bt=263
txflow: 12 pools | top 5m swaps: 6WwtGMXu=682, GbrDAq3R=380, zxTpi4Bt=259, 6e4ewHhG=253
txflow: 12 pools | top 5m swaps: GbrDAq3R=729, 6e4ewHhG=551, 6WwtGMXu=455, zxTpi4Bt=294
txflow: 12 pools | top 5m swaps: GbrDAq3R=627, zxTpi4Bt=555, 6e4ewHhG=432, 6WwtGMXu=350
